          64      16
     -22.2952     -22.2281     -22.1618     -22.0958
     -30.5911     -30.3269     -30.0609     -29.7858     -29.5184     -29.2775
     -29.0686     -28.8860     -28.7203     -28.5658     -28.4223     -28.2923
     -28.1806     -28.0847     -28.0021     -27.9293     -27.8617     -27.7971
     -27.7333     -27.6647     -27.5903     -27.5097     -27.4089     -26.8869
     -25.3249     -23.0408     -21.8864     -22.0737     -22.2919     -22.5018
     -22.4411     -22.0248     -22.0677     -22.3155     -22.5287     -22.6882
     -22.8594     -22.9933     -23.0661     -23.1265     -23.1538     -23.1658
     -23.1732     -23.1721     -23.1551     -23.1199     -23.0790     -23.0355
     -22.9911     -22.9360     -22.8816     -22.8282     -22.7761     -22.7148
     -22.6549     -22.5970     -22.5410     -22.4769     -22.4145     -22.3539
     -22.2951     -22.2280     -22.1617     -22.0957
     -30.3666     -30.0842     -29.8055     -29.5209     -29.2474     -29.0028
     -28.7919     -28.6081     -28.4416     -28.2866     -28.1428     -28.0129
     -27.9016     -27.8065     -27.7253     -27.6543     -27.5897     -27.5291
     -27.4701     -27.4074     -27.3402     -27.2678     -27.1762     -26.7767
     -25.3175     -23.0403     -21.8860     -22.0726     -22.2886     -22.4918
     -22.4260     -22.0154     -22.0534     -22.2898     -22.4821     -22.6173
     -22.8002     -22.9472     -23.0186     -23.0806     -23.1041     -23.1203
     -23.1401     -23.1537     -23.1443     -23.1136     -23.0748     -23.0324
     -22.9882     -22.9337     -22.8801     -22.8273     -22.7754     -22.7142
     -22.6545     -22.5965     -22.5406     -22.4765     -22.4141     -22.3536
     -22.2948     -22.2277     -22.1614     -22.0955
     -30.1149     -29.8212     -29.5350     -29.2453     -28.9686     -28.7223
     -28.5104     -28.3259     -28.1590     -28.0037     -27.8597     -27.7297
     -27.6187     -27.5242     -27.4439     -27.3741     -27.3112     -27.2529
     -27.1967     -27.1374     -27.0743     -27.0065     -26.9195     -26.6188
     -25.3035     -23.0394     -21.8852     -22.0705     -22.2823     -22.4732
     -22.3983     -21.9976     -22.0269     -22.2439     -22.4039     -22.5061
     -22.7045     -22.8698     -22.9391     -23.0035     -23.0216     -23.0438
     -23.0825     -23.1203     -23.1242     -23.1017     -23.0668     -23.0263
     -22.9828     -22.9294     -22.8773     -22.8254     -22.7740     -22.7131
     -22.6535     -22.5957     -22.5397     -22.4757     -22.4134     -22.3530
     -22.2943     -22.2272     -22.1610     -22.0950
     -29.8458     -29.5456     -29.2554     -28.9633     -28.6853     -28.4383
     -28.2261     -28.0414     -27.8741     -27.7185     -27.5742     -27.4441
     -27.3332     -27.2390     -27.1594     -27.0905     -27.0286     -26.9717
     -26.9171     -26.8597     -26.7987     -26.7330     -26.6477     -26.4148
     -25.2772     -23.0376     -21.8838     -22.0666     -22.2703     -22.4392
     -22.3491     -21.9652     -21.9798     -22.1668     -22.2838     -22.3486
     -22.5637     -22.7506     -22.8173     -22.8847     -22.8961     -22.9258
     -22.9889     -23.0621     -23.0878     -23.0795     -23.0518     -23.0148
     -22.9727     -22.9212     -22.8718     -22.8218     -22.7713     -22.7110
     -22.6518     -22.5940     -22.5380     -22.4742     -22.4121     -22.3518
     -22.2932     -22.2263     -22.1601     -22.0942
     -29.5652     -29.2617     -28.9698     -28.6771     -28.3990     -28.1521
     -27.9399     -27.7551     -27.5875     -27.4313     -27.2866     -27.1562
     -27.0451     -26.9511     -26.8719     -26.8036     -26.7424     -26.6863
     -26.6328     -26.5765     -26.5167     -26.4519     -26.3666     -26.1743
     -25.2295     -23.0341     -21.8809     -22.0590     -22.2480     -22.3802
     -22.2674     -21.9085     -21.9010     -22.0480     -22.1171     -22.1475
     -22.3773     -22.5849     -22.6490     -22.7194     -22.7242     -22.7612
     -22.8506     -22.9677     -23.0248     -23.0396     -23.0241     -22.9933
     -22.9535     -22.9057     -22.8613     -22.8148     -22.7662     -22.7069
     -22.6483     -22.5908     -22.5347     -22.4712     -22.4095     -22.3495
     -22.2912     -22.2244     -22.1584     -22.0926
     -29.2771     -28.9718     -28.6795     -28.3874     -28.1102     -27.8640
     -27.6521     -27.4671     -27.2989     -27.1417     -26.9959     -26.8646
     -26.7531     -26.6590     -26.5798     -26.5124     -26.4517     -26.3962
     -26.3434     -26.2880     -26.2291     -26.1647     -26.0786     -25.9075
     -25.1480     -23.0279     -21.8760     -22.0450     -22.2083     -22.2850
     -22.1432     -21.8167     -21.7804     -21.8831     -21.9085     -21.9127
     -22.1533     -22.3771     -22.4387     -22.5115     -22.5110     -22.5539
     -22.6662     -22.8282     -22.9238     -22.9711     -22.9747     -22.9543
     -22.9184     -22.8769     -22.8415     -22.8015     -22.7562     -22.6989
     -22.6415     -22.5844     -22.5282     -22.4654     -22.4043     -22.3450
