    0.0110623    0.0995798     0.606332     0.343408    0.0502363
    0.0110623    0.0986443     0.610683     0.347912    0.0413892
    0.0110328    0.0975478     0.614851     0.352347    0.0327917
    0.0109146    0.0966355     0.615364     0.353363    0.0312613
    0.0107418    0.0953011     0.616113     0.354850    0.0290228
    0.0104890    0.0933494     0.617208     0.357025    0.0257486
    0.0101192    0.0904946     0.618811     0.360206    0.0209596
   0.00957834    0.0863191     0.621154     0.364858    0.0139549
   0.00901472    0.0820890     0.622697     0.369680   0.00758118
   0.00894646    0.0821412     0.618686     0.370147    0.0111271
   0.00884663    0.0822174     0.612819     0.370830    0.0163136
   0.00870060    0.0823290     0.604237     0.371829    0.0238995
   0.00848701    0.0824922     0.591685     0.373290    0.0349952
   0.00817460    0.0827309     0.573327     0.375428    0.0512243
   0.00771765    0.0830801     0.546474     0.378553    0.0749619
   0.00704930    0.0835907     0.507198     0.383126     0.109682
