  0.000100000  -0.00671869     -4.73509      13.8721      54.9389
  0.000146265  -0.00670246     -4.73415      13.8187      54.6688
  0.000213936  -0.00668041     -4.73454      13.8191      54.6408
  0.000312913  -0.00665627     -4.73616      13.8631      54.8403
  0.000457684  -0.00695651     -4.73153      13.9358      45.0304
  0.000669433  -0.00694229     -4.73479      14.0192      45.4399
  0.000979148  -0.00695660     -4.73793      14.0989      45.9181
   0.00143216  -0.00700364     -4.74061      14.1574      46.4196
   0.00209475  -0.00710693     -4.74207      14.1788      46.9087
   0.00306389  -0.00753913     -4.73620      14.1469      47.4954
   0.00448141  -0.00791490     -4.73092      14.0471      47.9129
   0.00655474  -0.00901195     -4.70587      12.0493      38.9446
   0.00958732  -0.00953944     -4.69558      11.7945      38.7371
    0.0140229   -0.0104833     -4.67679      11.4395      38.3953
    0.0205107   -0.0117259     -4.65185      10.9713      37.8242
    0.0300000   -0.0140914     -4.60839      10.3764      29.4694
