    0.10013E-04    0.17601E+00
    0.10353E-04    0.18198E+00
    0.10703E-04    0.18815E+00
    0.11066E-04    0.19452E+00
    0.11441E-04    0.20112E+00
    0.11829E-04    0.20793E+00
    0.12230E-04    0.21498E+00
    0.12645E-04    0.22227E+00
    0.13073E-04    0.22980E+00
    0.13516E-04    0.23759E+00
    0.13974E-04    0.24565E+00
    0.14448E-04    0.25397E+00
    0.14938E-04    0.26258E+00
    0.15444E-04    0.27148E+00
    0.15968E-04    0.28068E+00
    0.16509E-04    0.29020E+00
    0.17068E-04    0.30003E+00
    0.17647E-04    0.31020E+00
    0.18245E-04    0.32072E+00
    0.18864E-04    0.33159E+00
    0.19503E-04    0.34282E+00
    0.20164E-04    0.35444E+00
    0.20847E-04    0.36646E+00
    0.21554E-04    0.37888E+00
    0.22285E-04    0.39172E+00
    0.23040E-04    0.40500E+00
    0.23821E-04    0.41873E+00
    0.24628E-04    0.43292E+00
    0.25463E-04    0.44759E+00
    0.26326E-04    0.46276E+00
    0.27219E-04    0.47845E+00
    0.28141E-04    0.49466E+00
    0.29095E-04    0.51143E+00
    0.30081E-04    0.52877E+00
    0.31101E-04    0.54669E+00
    0.32155E-04    0.56522E+00
    0.33245E-04    0.58437E+00
    0.34372E-04    0.60418E+00
    0.35537E-04    0.62466E+00
    0.36741E-04    0.64583E+00
    0.37987E-04    0.66772E+00
    0.39274E-04    0.69035E+00
    0.40605E-04    0.71375E+00
    0.41982E-04    0.73794E+00
    0.43405E-04    0.76295E+00
    0.44876E-04    0.78881E+00
    0.46397E-04    0.81555E+00
    0.47970E-04    0.84319E+00
    0.49595E-04    0.87177E+00
    0.51277E-04    0.90132E+00
    0.53015E-04    0.93186E+00
    0.54811E-04    0.96345E+00
    0.56669E-04    0.99610E+00
    0.58590E-04    0.10299E+01
    0.60576E-04    0.10648E+01
    0.62629E-04    0.11008E+01
    0.64752E-04    0.11382E+01
    0.66947E-04    0.11767E+01
    0.69216E-04    0.12166E+01
    0.71562E-04    0.12578E+01
    0.73988E-04    0.13005E+01
    0.76496E-04    0.13445E+01
    0.79088E-04    0.13901E+01
    0.81769E-04    0.14372E+01
    0.84541E-04    0.14859E+01
    0.87406E-04    0.15363E+01
    0.90369E-04    0.15883E+01
    0.93432E-04    0.16422E+01
    0.96599E-04    0.16978E+01
    0.99873E-04    0.17553E+01
    0.10326E-03    0.18148E+01
    0.10676E-03    0.18763E+01
    0.11038E-03    0.19399E+01
    0.11412E-03    0.20056E+01
    0.11799E-03    0.20736E+01
    0.12199E-03    0.21438E+01
    0.12612E-03    0.22165E+01
    0.13039E-03    0.22916E+01
    0.13481E-03    0.23692E+01
    0.13938E-03    0.24495E+01
    0.14411E-03    0.25324E+01
    0.14899E-03    0.26182E+01
    0.15404E-03    0.27069E+01
    0.15926E-03    0.27986E+01
    0.16466E-03    0.28934E+01
    0.17024E-03    0.29914E+01
    0.17601E-03    0.30927E+01
    0.18198E-03    0.31974E+01
    0.18815E-03    0.33057E+01
    0.19453E-03    0.34176E+01
    0.20112E-03    0.35334E+01
    0.20794E-03    0.36530E+01
    0.21498E-03    0.37766E+01
    0.22227E-03    0.39045E+01
    0.22981E-03    0.40366E+01
    0.23759E-03    0.41732E+01
    0.24565E-03    0.43145E+01
    0.25397E-03    0.44605E+01
    0.26258E-03    0.46114E+01
    0.27148E-03    0.47674E+01
    0.28068E-03    0.49286E+01
    0.29020E-03    0.50953E+01
    0.30004E-03    0.52676E+01
    0.31020E-03    0.54456E+01
    0.32072E-03    0.56297E+01
    0.33159E-03    0.58200E+01
    0.34283E-03    0.60166E+01
    0.35445E-03    0.62199E+01
    0.36646E-03    0.64299E+01
    0.37889E-03    0.66470E+01
    0.39173E-03    0.68714E+01
    0.40501E-03    0.71033E+01
    0.41873E-03    0.73429E+01
    0.43293E-03    0.75906E+01
    0.44760E-03    0.78465E+01
    0.46277E-03    0.81109E+01
    0.47846E-03    0.83841E+01
    0.49467E-03    0.86664E+01
    0.51144E-03    0.89581E+01
    0.52878E-03    0.92595E+01
    0.54670E-03    0.95709E+01
    0.56523E-03    0.98925E+01
    0.58439E-03    0.10225E+02
    0.60420E-03    0.10568E+02
    0.62468E-03    0.10923E+02
    0.64585E-03    0.11289E+02
    0.66774E-03    0.11667E+02
    0.69037E-03    0.12057E+02
    0.71377E-03    0.12460E+02
    0.73797E-03    0.12877E+02
    0.76298E-03    0.13307E+02
    0.78884E-03    0.13750E+02
    0.81558E-03    0.14208E+02
    0.84322E-03    0.14681E+02
    0.87181E-03    0.15169E+02
    0.90136E-03    0.15672E+02
    0.93191E-03    0.16191E+02
    0.96349E-03    0.16727E+02
    0.99615E-03    0.17279E+02
    0.10299E-02    0.17849E+02
    0.10648E-02    0.18437E+02
    0.11009E-02    0.19042E+02
    0.11382E-02    0.19667E+02
    0.11768E-02    0.20310E+02
    0.12167E-02    0.20973E+02
    0.12579E-02    0.21656E+02
    0.13006E-02    0.22359E+02
    0.13447E-02    0.23083E+02
    0.13902E-02    0.23828E+02
    0.14374E-02    0.24595E+02
    0.14861E-02    0.25384E+02
    0.15365E-02    0.26196E+02
    0.15885E-02    0.27031E+02
    0.16424E-02    0.27889E+02
    0.16980E-02    0.28770E+02
    0.17556E-02    0.29675E+02
    0.18151E-02    0.30605E+02
    0.18766E-02    0.31560E+02
    0.19402E-02    0.32539E+02
    0.20060E-02    0.33543E+02
    0.20740E-02    0.34573E+02
    0.21443E-02    0.35628E+02
    0.22170E-02    0.36709E+02
    0.22921E-02    0.37815E+02
